,ISO3,WGI
0,ABW,1.1
1,AND,1.39
2,AFG,-1.72
3,AGO,-0.79
4,AIA,1.0
5,ALB,-0.02
6,CUW,0.0
7,ARE,0.65
8,ARG,-0.23
9,ARM,-0.2
10,ASM,0.97
11,ATG,0.42
12,AUS,1.49
13,AUT,1.29
14,AZE,-0.7
15,BDI,-1.26
16,BEL,1.2
17,BEN,-0.32
18,BFA,-0.73
19,BGD,-0.87
20,BGR,0.05
21,BHR,0.06
22,BHS,0.57
23,BIH,-0.5
24,BLR,-1.07
25,BLZ,-0.13
26,BMU,1.04
27,BOL,-0.74
28,BRA,-0.29
29,BRB,0.8
30,BRN,0.84
31,BTN,0.56
32,SSD,-2.05
33,BWA,0.62
34,CAF,-1.58
35,CAN,1.45
36,CHE,1.7
37,CHL,0.71
38,CHN,-0.33
39,CIV,-0.38
40,CMR,-1.08
41,COG,-1.05
42,COK,0.26
43,COL,-0.18
44,COM,-1.09
45,CPV,0.58
46,CRI,0.59
47,CUB,-0.52
48,CYM,0.99
49,CYP,0.63
50,CZE,1.02
51,DEU,1.36
52,DJI,-0.9
53,DMA,0.6
54,DNK,1.76
55,DOM,0.02
56,DZA,-0.8
57,ECU,-0.37
58,EGY,-0.76
59,ERI,-1.67
60,ESP,0.75
61,EST,1.3
62,ETH,-0.97
63,FIN,1.71
64,FJI,0.31
65,FRA,1.04
66,FSM,0.56
67,GAB,-0.69
68,GBR,1.26
69,GEO,0.34
70,GHA,-0.01
71,GIN,-1.01
72,GMB,-0.35
73,GNB,-1.04
74,GNQ,-1.26
75,GRC,0.38
76,GRD,0.54
77,GRL,1.25
78,GTM,-0.73
79,GUF,1.0
80,GUM,0.94
81,GUY,-0.2
82,HKG,1.05
83,HND,-0.74
84,HRV,0.47
85,HTI,-1.5
86,HUN,0.39
87,IDN,-0.05
88,IND,-0.07
89,IRL,1.45
90,IRN,-1.28
91,IRQ,-1.48
92,ISL,1.47
93,ISR,0.59
94,ITA,0.54
95,JAM,0.28
96,JOR,-0.07
97,JPN,1.37
98,KAZ,-0.33
99,KEN,-0.49
100,KGZ,-0.86
101,KHM,-0.75
102,KIR,0.5
103,KNA,0.6
104,KOR,0.97
105,KWT,0.05
106,LAO,-0.7
107,LBN,-1.15
108,LBR,-0.76
109,LBY,-1.79
110,LCA,0.55
111,LIE,1.59
112,LKA,-0.41
113,LSO,-0.41
114,LTU,0.97
115,LUX,1.64
116,LVA,0.82
117,XXK,-0.25
118,MAC,0.86
119,MAR,-0.28
120,MCO,1.35
121,MDA,-0.23
122,MDG,-0.76
123,MDV,-0.13
124,MEX,-0.52
125,MHL,0.52
126,MKD,0.04
127,MLI,-1.18
128,MLT,0.75
129,MMR,-1.6
130,MNG,-0.11
131,MNE,0.08
132,MOZ,-0.87
133,MRT,-0.74
134,MTQ,0.78
135,MUS,0.76
136,MWI,-0.42
137,MYS,0.43
138,NAM,0.29
139,NER,-0.71
140,NGA,-1.1
141,NIC,-1.04
142,NIU,0.55
143,NLD,1.52
144,NOR,1.65
145,NPL,-0.47
146,NRU,0.38
147,NZL,1.68
148,OMN,0.06
149,PAK,-0.96
150,PAN,-0.03
151,PLW,0.77
152,PER,-0.32
153,PHL,-0.28
154,PNG,-0.57
155,POL,0.5
156,PRI,0.33
157,PRK,-1.59
158,PRT,0.95
159,PRY,-0.4
160,QAT,0.61
161,REU,0.7
162,ROU,0.31
163,RUS,-1.03
164,RWA,0.03
165,WSM,0.6
166,SAU,-0.03
167,SDN,-1.57
168,SEN,-0.1
169,SGP,1.61
170,SLB,-0.19
171,SLE,-0.64
172,SLV,-0.45
173,SMR,1.29
174,SOM,-2.04
175,STP,-0.2
176,SUR,-0.25
177,SVK,0.57
178,SVN,0.86
179,SWE,1.57
180,SWZ,-0.69
181,SYC,0.75
182,SYR,-2.02
183,TCD,-1.4
184,TGO,-0.65
185,THA,-0.18
186,TJK,-1.17
187,TKM,-1.37
188,TLS,-0.27
189,TON,0.27
190,TTO,0.06
191,TUN,-0.31
192,TUR,-0.56
193,TUV,0.57
194,TWN,1.17
195,TZA,-0.45
196,UGA,-0.69
197,UKR,-0.73
198,URY,1.05
199,USA,0.99
200,UZB,-0.67
201,VCT,0.66
202,VEN,-1.73
203,VIR,0.72
204,VNM,-0.34
205,VUT,0.22
206,PSE,-0.84
207,JEY,1.29
208,YEM,-1.96
209,SRB,-0.11
210,ZAF,-0.1
211,COD,-1.6
212,ZMB,-0.37
213,ZWE,-1.19
